wallet,solana_amount,reward_sent,snapshot_date,date_sent
BhdumnHyu5mAv7UhWZ3gN9vBNbksJWyNpAAC438arS4W,8.748321,YES,6/30/2025,7/6/2025
FLMp9Fr3TAKNt36hB1juQjNezZC2eZrAmUuyVep9jYzC,6.487929,YES,6/30/2025,7/6/2025
GzFQ6tPd6xZokZBWBnuuRCqLRMBZX1DAAboUPPbcyqmf,4.119571,YES,6/30/2025,7/6/2025
FFomhtqjHqhVzjUD1nNzebSS99i7NLiKgSERBjD7reUs,3.529633,YES,6/30/2025,7/6/2025
5DCj1e2KkmsFdeodbsda6ttvtzfLUrSHVKg9HEpzCrTY,3.001231,YES,6/30/2025,7/6/2025
5FTUxwz16Qxt9d67homQZaSWqpDEsYw7DHX26fSdL4j6,2.852336,YES,6/30/2025,7/6/2025
DQsjr38FpLMyQnWVykHe5UUjJwmR6oM4rb3KhrNVQdCb,2.759727,YES,6/30/2025,7/6/2025
1hF1fyxK8qdqFt7dpo59Wsc2W8a3zssYQyKA2vkSpXP,2.384572,YES,6/30/2025,7/6/2025
BakvxsSyYZStFgZS6geJuNfzzaPuNzXg7RXwNADpoBep,2.183543,YES,6/30/2025,7/6/2025
FeWyeX3u2c3PW1kncrnqmPzcymEHCChqtXnVvmLaHfzF,2.085792,YES,6/30/2025,7/6/2025
AzxdL86uS8tkcMvVXQLVzfk7KyPVutu6MP1UdKyZ4fRG,1.925725,YES,6/30/2025,7/6/2025
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,1.860955,YES,6/30/2025,7/6/2025
29wRbuijCb6R8pcKgXLFmst1K5pKokJn4Xj97d29Q5vF,1.845686,YES,6/30/2025,7/6/2025
94iRKHoSwkexuN5cBzXeZBUAHPGZdmN7C3EiNZ7jbJTU,1.568297,YES,6/30/2025,7/6/2025
51gpe3C8ythVQpAq9XM624icAbZNsr5UhVSs8JeUuYSy,1.390672,YES,6/30/2025,7/6/2025
5Pah2T16UAd4LnPmcpbp3Wrn2PAmBH2u4xftw2mE7AHC,1.36777,YES,6/30/2025,7/6/2025
9juCLNwmPkQPUY1xahuZZJEcaLv8r5WMfrwfhg5ToKPa,1.292199,YES,6/30/2025,7/6/2025
GdKioWmSRV2V1BGVteM7yYK1amkkAAwpM4F6MoxMDYrn,1.267038,YES,6/30/2025,7/6/2025
GV9kvNR1x2KVX3kaacQRrcUjaZTzf67PBZcfVD8JA9Ad,1.200387,YES,6/30/2025,7/6/2025
GT1EdHZGqmeALUEGnfTaSKi9arPMXEZS4Za5qWFKWVkk,1.119318,YES,6/30/2025,7/6/2025
7RGPTuucVwHKWsuhtMkKs5cYv88jK7yavLVsHS8PoruW,1.083026,YES,6/30/2025,7/6/2025
AUqSzsMrrLxfWaawTr5qSf857y1M64uwwJP8je7etVSU,1.053148,YES,6/30/2025,7/6/2025
